kandidatas,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Ana ORNOVSKA,"4,24%",1,"3,94%",4,Jurgelionių  (Nr.32) apylinkė  
Jaroslav KOZLOVSKI,"2,54%",1,"2,36%",2,Jurgelionių  (Nr.32) apylinkė  
Jonas CIMBOLAITIS,"1,69%",0,"1,57%",2,Jurgelionių  (Nr.32) apylinkė  
Algis GRIDZIUŠKA,"2,54%",3,"2,36%",0,Jurgelionių  (Nr.32) apylinkė  
Arvydas BANIULIS,"2,54%",2,"2,36%",1,Jurgelionių  (Nr.32) apylinkė  
Arvydas VALIUKEVIČIUS,"1,69%",0,"1,57%",2,Jurgelionių  (Nr.32) apylinkė  
Valdemar TOMAŠEVSKI,"62,26%",46,"55,93%",20,Krakūnų  (Nr.31) apylinkė  
Alina GOREVAJA,"12,26%",6,"11,02%",7,Krakūnų  (Nr.31) apylinkė  
Leonarda STANČIKIENĖ,"2,83%",1,"2,54%",2,Krakūnų  (Nr.31) apylinkė  
Solveiga MAKARENKIENĖ,"3,77%",1,"3,39%",3,Krakūnų  (Nr.31) apylinkė  
Ana ORNOVSKA,"2,83%",1,"2,54%",2,Krakūnų  (Nr.31) apylinkė  
Jaroslav KOZLOVSKI,"3,77%",2,"3,39%",2,Krakūnų  (Nr.31) apylinkė  
Jonas CIMBOLAITIS,"4,72%",3,"4,24%",2,Krakūnų  (Nr.31) apylinkė  
Algis GRIDZIUŠKA,"0,94%",0,"0,85%",1,Krakūnų  (Nr.31) apylinkė  
Arvydas BANIULIS,"4,72%",1,"4,24%",4,Krakūnų  (Nr.31) apylinkė  
Arvydas VALIUKEVIČIUS,"1,89%",0,"1,69%",2,Krakūnų  (Nr.31) apylinkė  
Valdemar TOMAŠEVSKI,"40,49%",160,"37,83%",53,Dieveniškių  (Nr.30) apylinkė  
Alina GOREVAJA,"19,39%",87,"18,12%",15,Dieveniškių  (Nr.30) apylinkė  
Leonarda STANČIKIENĖ,"8,37%",32,"7,82%",12,Dieveniškių  (Nr.30) apylinkė  
Solveiga MAKARENKIENĖ,"5,51%",22,"5,15%",7,Dieveniškių  (Nr.30) apylinkė  
Ana ORNOVSKA,"5,32%",23,"4,97%",5,Dieveniškių  (Nr.30) apylinkė  
Jaroslav KOZLOVSKI,"3,04%",7,"2,84%",9,Dieveniškių  (Nr.30) apylinkė  
Jonas CIMBOLAITIS,"8,17%",38,"7,64%",5,Dieveniškių  (Nr.30) apylinkė  
Algis GRIDZIUŠKA,"3,23%",10,"3,02%",7,Dieveniškių  (Nr.30) apylinkė  
Arvydas BANIULIS,"4,37%",14,"4,09%",9,Dieveniškių  (Nr.30) apylinkė  
Arvydas VALIUKEVIČIUS,"2,09%",10,"1,95%",1,Dieveniškių  (Nr.30) apylinkė  
Valdemar TOMAŠEVSKI,"79,78%",309,"77,23%",54,Kabiškių  (Nr.29) apylinkė  
Alina GOREVAJA,"4,18%",18,"4,04%",1,Kabiškių  (Nr.29) apylinkė  
Leonarda STANČIKIENĖ,"1,98%",7,"1,91%",2,Kabiškių  (Nr.29) apylinkė  
Solveiga MAKARENKIENĖ,"4,62%",17,"4,47%",4,Kabiškių  (Nr.29) apylinkė  
Ana ORNOVSKA,"2,20%",10,"2,13%",0,Kabiškių  (Nr.29) apylinkė  
Jaroslav KOZLOVSKI,"1,98%",9,"1,91%",0,Kabiškių  (Nr.29) apylinkė  
Jonas CIMBOLAITIS,"0,66%",3,"0,64%",0,Kabiškių  (Nr.29) apylinkė  
Algis GRIDZIUŠKA,"1,98%",9,"1,91%",0,Kabiškių  (Nr.29) apylinkė  
Arvydas BANIULIS,"2,20%",10,"2,13%",0,Kabiškių  (Nr.29) apylinkė  
Arvydas VALIUKEVIČIUS,"0,44%",2,"0,43%",0,Kabiškių  (Nr.29) apylinkė  
Valdemar TOMAŠEVSKI,"47,92%",154,"42,98%",42,Poškonių  (Nr.29) apylinkė  
Alina GOREVAJA,"10,51%",38,"9,43%",5,Poškonių  (Nr.29) apylinkė  
Leonarda STANČIKIENĖ,"7,58%",24,"6,80%",7,Poškonių  (Nr.29) apylinkė  
Solveiga MAKARENKIENĖ,"6,36%",20,"5,70%",6,Poškonių  (Nr.29) apylinkė  
Ana ORNOVSKA,"6,11%",20,"5,48%",5,Poškonių  (Nr.29) apylinkė  
Jaroslav KOZLOVSKI,"3,67%",9,"3,29%",6,Poškonių  (Nr.29) apylinkė  
Jonas CIMBOLAITIS,"6,11%",19,"5,48%",6,Poškonių  (Nr.29) apylinkė  
Algis GRIDZIUŠKA,"3,91%",10,"3,51%",6,Poškonių  (Nr.29) apylinkė  
Arvydas BANIULIS,"6,11%",17,"5,48%",8,Poškonių  (Nr.29) apylinkė  
Arvydas VALIUKEVIČIUS,"1,71%",4,"1,54%",3,Poškonių  (Nr.29) apylinkė  
Valdemar TOMAŠEVSKI,"71,46%",302,"64,59%",61,Akmenynės  (Nr.28) apylinkė  
Alina GOREVAJA,"5,12%",21,"4,63%",5,Akmenynės  (Nr.28) apylinkė  
Leonarda STANČIKIENĖ,"14,96%",65,"13,52%",11,Akmenynės  (Nr.28) apylinkė  
Solveiga MAKARENKIENĖ,"1,18%",5,"1,07%",1,Akmenynės  (Nr.28) apylinkė  
Ana ORNOVSKA,"2,36%",9,"2,14%",3,Akmenynės  (Nr.28) apylinkė  
Jaroslav KOZLOVSKI,"2,95%",11,"2,67%",4,Akmenynės  (Nr.28) apylinkė  
Jonas CIMBOLAITIS,"0,00%",0,"0,00%",0,Akmenynės  (Nr.28) apylinkė  
Algis GRIDZIUŠKA,"0,39%",1,"0,36%",1,Akmenynės  (Nr.28) apylinkė  
Arvydas BANIULIS,"0,98%",5,"0,89%",0,Akmenynės  (Nr.28) apylinkė  
Arvydas VALIUKEVIČIUS,"0,59%",3,"0,53%",0,Akmenynės  (Nr.28) apylinkė  
Valdemar TOMAŠEVSKI,"77,22%",144,"70,18%",56,Tabariškių  (Nr.27) apylinkė  
Alina GOREVAJA,"7,72%",15,"7,02%",5,Tabariškių  (Nr.27) apylinkė  
Leonarda STANČIKIENĖ,"3,09%",4,"2,81%",4,Tabariškių  (Nr.27) apylinkė  
Solveiga MAKARENKIENĖ,"4,25%",10,"3,86%",1,Tabariškių  (Nr.27) apylinkė  
Ana ORNOVSKA,"1,16%",2,"1,05%",1,Tabariškių  (Nr.27) apylinkė  
Jaroslav KOZLOVSKI,"2,70%",5,"2,46%",2,Tabariškių  (Nr.27) apylinkė  
Jonas CIMBOLAITIS,"0,00%",0,"0,00%",0,Tabariškių  (Nr.27) apylinkė  
Algis GRIDZIUŠKA,"1,16%",2,"1,05%",1,Tabariškių  (Nr.27) apylinkė  
Arvydas BANIULIS,"1,16%",3,"1,05%",0,Tabariškių  (Nr.27) apylinkė  
Arvydas VALIUKEVIČIUS,"1,54%",2,"1,40%",2,Tabariškių  (Nr.27) apylinkė  
Valdemar TOMAŠEVSKI,"80,03%",359,"75,41%",150,Medininkų  (Nr.26) apylinkė  
Alina GOREVAJA,"6,76%",38,"6,37%",5,Medininkų  (Nr.26) apylinkė  
Leonarda STANČIKIENĖ,"3,77%",18,"3,56%",6,Medininkų  (Nr.26) apylinkė  
Solveiga MAKARENKIENĖ,"1,89%",10,"1,78%",2,Medininkų  (Nr.26) apylinkė  
Ana ORNOVSKA,"3,77%",21,"3,56%",3,Medininkų  (Nr.26) apylinkė  
Jaroslav KOZLOVSKI,"1,42%",9,"1,33%",0,Medininkų  (Nr.26) apylinkė  
Jonas CIMBOLAITIS,"0,16%",1,"0,15%",0,Medininkų  (Nr.26) apylinkė  
Algis GRIDZIUŠKA,"0,47%",3,"0,44%",0,Medininkų  (Nr.26) apylinkė  
Arvydas BANIULIS,"1,26%",8,"1,19%",0,Medininkų  (Nr.26) apylinkė  
Arvydas VALIUKEVIČIUS,"0,47%",3,"0,44%",0,Medininkų  (Nr.26) apylinkė  
Valdemar TOMAŠEVSKI,"60,22%",97,"59,79%",71,Skynimų  (Nr.26) apylinkė  
Alina GOREVAJA,"17,56%",41,"17,44%",8,Skynimų  (Nr.26) apylinkė  
Leonarda STANČIKIENĖ,"8,96%",15,"8,90%",10,Skynimų  (Nr.26) apylinkė  
Solveiga MAKARENKIENĖ,"4,30%",12,"4,27%",0,Skynimų  (Nr.26) apylinkė  
Ana ORNOVSKA,"3,58%",9,"3,56%",1,Skynimų  (Nr.26) apylinkė  
Jaroslav KOZLOVSKI,"1,79%",5,"1,78%",0,Skynimų  (Nr.26) apylinkė  
Jonas CIMBOLAITIS,"1,08%",3,"1,07%",0,Skynimų  (Nr.26) apylinkė  
Algis GRIDZIUŠKA,"1,79%",3,"1,78%",2,Skynimų  (Nr.26) apylinkė  
Arvydas BANIULIS,"0,72%",0,"0,71%",2,Skynimų  (Nr.26) apylinkė  
Arvydas VALIUKEVIČIUS,"0,00%",0,"0,00%",0,Skynimų  (Nr.26) apylinkė  
Valdemar TOMAŠEVSKI,"65,90%",343,"63,44%",30,Galgių  (Nr.25) apylinkė  
Alina GOREVAJA,"4,42%",24,"4,25%",1,Galgių  (Nr.25) apylinkė  
Leonarda STANČIKIENĖ,"4,24%",22,"4,08%",2,Galgių  (Nr.25) apylinkė  
Solveiga MAKARENKIENĖ,"4,77%",27,"4,59%",0,Galgių  (Nr.25) apylinkė  
Ana ORNOVSKA,"1,59%",9,"1,53%",0,Galgių  (Nr.25) apylinkė  
Jaroslav KOZLOVSKI,"2,30%",13,"2,21%",0,Galgių  (Nr.25) apylinkė  
Jonas CIMBOLAITIS,"6,54%",34,"6,29%",3,Galgių  (Nr.25) apylinkė  
Algis GRIDZIUŠKA,"4,42%",25,"4,25%",0,Galgių  (Nr.25) apylinkė  
Arvydas BANIULIS,"2,47%",14,"2,38%",0,Galgių  (Nr.25) apylinkė  
Arvydas VALIUKEVIČIUS,"3,36%",17,"3,23%",2,Galgių  (Nr.25) apylinkė  
Valdemar TOMAŠEVSKI,"75,15%",355,"71,88%",141,Turgelių  (Nr.25) apylinkė  
Alina GOREVAJA,"5,91%",35,"5,65%",4,Turgelių  (Nr.25) apylinkė  
Leonarda STANČIKIENĖ,"5,91%",32,"5,65%",7,Turgelių  (Nr.25) apylinkė  
Solveiga MAKARENKIENĖ,"2,88%",18,"2,75%",1,Turgelių  (Nr.25) apylinkė  
Ana ORNOVSKA,"3,03%",20,"2,90%",0,Turgelių  (Nr.25) apylinkė  
Jaroslav KOZLOVSKI,"3,33%",19,"3,19%",3,Turgelių  (Nr.25) apylinkė  
Jonas CIMBOLAITIS,"0,45%",3,"0,43%",0,Turgelių  (Nr.25) apylinkė  
Algis GRIDZIUŠKA,"0,45%",3,"0,43%",0,Turgelių  (Nr.25) apylinkė  
Arvydas BANIULIS,"1,36%",7,"1,30%",2,Turgelių  (Nr.25) apylinkė  
Arvydas VALIUKEVIČIUS,"1,52%",8,"1,45%",2,Turgelių  (Nr.25) apylinkė  
Valdemar TOMAŠEVSKI,"65,12%",382,"61,67%",38,Baltosios Vokės  (Nr.24) apylinkė  
Alina GOREVAJA,"5,58%",32,"5,29%",4,Baltosios Vokės  (Nr.24) apylinkė  
Leonarda STANČIKIENĖ,"5,89%",37,"5,58%",1,Baltosios Vokės  (Nr.24) apylinkė  
Solveiga MAKARENKIENĖ,"3,72%",23,"3,52%",1,Baltosios Vokės  (Nr.24) apylinkė  
Ana ORNOVSKA,"2,48%",16,"2,35%",0,Baltosios Vokės  (Nr.24) apylinkė  
Jaroslav KOZLOVSKI,"7,60%",47,"7,20%",2,Baltosios Vokės  (Nr.24) apylinkė  
Jonas CIMBOLAITIS,"2,64%",17,"2,50%",0,Baltosios Vokės  (Nr.24) apylinkė  
Algis GRIDZIUŠKA,"3,72%",24,"3,52%",0,Baltosios Vokės  (Nr.24) apylinkė  
Arvydas BANIULIS,"2,48%",16,"2,35%",0,Baltosios Vokės  (Nr.24) apylinkė  
Arvydas VALIUKEVIČIUS,"0,78%",5,"0,73%",0,Baltosios Vokės  (Nr.24) apylinkė  
Valdemar TOMAŠEVSKI,"72,81%",616,"68,52%",174,Mickūnų  (Nr.24) apylinkė  
Alina GOREVAJA,"6,08%",58,"5,72%",8,Mickūnų  (Nr.24) apylinkė  
Leonarda STANČIKIENĖ,"2,76%",21,"2,60%",9,Mickūnų  (Nr.24) apylinkė  
Solveiga MAKARENKIENĖ,"6,73%",70,"6,33%",3,Mickūnų  (Nr.24) apylinkė  
Ana ORNOVSKA,"1,66%",16,"1,56%",2,Mickūnų  (Nr.24) apylinkė  
Jaroslav KOZLOVSKI,"3,04%",31,"2,86%",2,Mickūnų  (Nr.24) apylinkė  
Jonas CIMBOLAITIS,"2,40%",23,"2,25%",3,Mickūnų  (Nr.24) apylinkė  
Algis GRIDZIUŠKA,"1,38%",13,"1,30%",2,Mickūnų  (Nr.24) apylinkė  
Arvydas BANIULIS,"1,75%",13,"1,65%",6,Mickūnų  (Nr.24) apylinkė  
Arvydas VALIUKEVIČIUS,"1,38%",14,"1,30%",1,Mickūnų  (Nr.24) apylinkė  
Valdemar TOMAŠEVSKI,"69,34%",158,"65,07%",32,Rūdninkų  (Nr.23) apylinkė  
Alina GOREVAJA,"5,11%",14,"4,79%",0,Rūdninkų  (Nr.23) apylinkė  
Leonarda STANČIKIENĖ,"1,82%",5,"1,71%",0,Rūdninkų  (Nr.23) apylinkė  
Solveiga MAKARENKIENĖ,"1,46%",4,"1,37%",0,Rūdninkų  (Nr.23) apylinkė  
Ana ORNOVSKA,"2,92%",8,"2,74%",0,Rūdninkų  (Nr.23) apylinkė  
Jaroslav KOZLOVSKI,"14,96%",33,"14,04%",8,Rūdninkų  (Nr.23) apylinkė  
Jonas CIMBOLAITIS,"0,73%",2,"0,68%",0,Rūdninkų  (Nr.23) apylinkė  
Algis GRIDZIUŠKA,"1,82%",5,"1,71%",0,Rūdninkų  (Nr.23) apylinkė  
Arvydas BANIULIS,"0,73%",2,"0,68%",0,Rūdninkų  (Nr.23) apylinkė  
Arvydas VALIUKEVIČIUS,"1,09%",2,"1,03%",1,Rūdninkų  (Nr.23) apylinkė  
Valdemar TOMAŠEVSKI,"68,94%",86,"64,16%",25,Keidžių  (Nr.22) apylinkė  
Alina GOREVAJA,"11,80%",17,"10,98%",2,Keidžių  (Nr.22) apylinkė  
Leonarda STANČIKIENĖ,"1,24%",1,"1,16%",1,Keidžių  (Nr.22) apylinkė  
Solveiga MAKARENKIENĖ,"3,73%",6,"3,47%",0,Keidžių  (Nr.22) apylinkė  
Ana ORNOVSKA,"1,24%",1,"1,16%",1,Keidžių  (Nr.22) apylinkė  
Jaroslav KOZLOVSKI,"4,97%",7,"4,62%",1,Keidžių  (Nr.22) apylinkė  
Jonas CIMBOLAITIS,"1,24%",1,"1,16%",1,Keidžių  (Nr.22) apylinkė  
Algis GRIDZIUŠKA,"2,48%",3,"2,31%",1,Keidžių  (Nr.22) apylinkė  
Arvydas BANIULIS,"3,73%",3,"3,47%",3,Keidžių  (Nr.22) apylinkė  
Arvydas VALIUKEVIČIUS,"0,62%",1,"0,58%",0,Keidžių  (Nr.22) apylinkė  
Valdemar TOMAŠEVSKI,"61,49%",80,"53,80%",19,Geležinkelio  (Nr.21) apylinkė  
Alina GOREVAJA,"9,32%",15,"8,15%",0,Geležinkelio  (Nr.21) apylinkė  
Leonarda STANČIKIENĖ,"6,83%",11,"5,98%",0,Geležinkelio  (Nr.21) apylinkė  
Solveiga MAKARENKIENĖ,"4,35%",7,"3,80%",0,Geležinkelio  (Nr.21) apylinkė  
Ana ORNOVSKA,"6,21%",10,"5,43%",0,Geležinkelio  (Nr.21) apylinkė  
Jaroslav KOZLOVSKI,"4,97%",7,"4,35%",1,Geležinkelio  (Nr.21) apylinkė  
Jonas CIMBOLAITIS,"0,62%",1,"0,54%",0,Geležinkelio  (Nr.21) apylinkė  
Algis GRIDZIUŠKA,"3,11%",5,"2,72%",0,Geležinkelio  (Nr.21) apylinkė  
Arvydas BANIULIS,"1,24%",1,"1,09%",1,Geležinkelio  (Nr.21) apylinkė  
Arvydas VALIUKEVIČIUS,"1,86%",3,"1,63%",0,Geležinkelio  (Nr.21) apylinkė  
Valdemar TOMAŠEVSKI,"63,14%",575,"60,07%",81,Jašiūnų  (Nr.20) apylinkė  
Alina GOREVAJA,"8,95%",74,"8,52%",19,Jašiūnų  (Nr.20) apylinkė  
Leonarda STANČIKIENĖ,"4,72%",47,"4,49%",2,Jašiūnų  (Nr.20) apylinkė  
Solveiga MAKARENKIENĖ,"7,51%",78,"7,14%",0,Jašiūnų  (Nr.20) apylinkė  
Ana ORNOVSKA,"3,85%",34,"3,66%",6,Jašiūnų  (Nr.20) apylinkė  
Jaroslav KOZLOVSKI,"2,89%",21,"2,75%",9,Jašiūnų  (Nr.20) apylinkė  
Jonas CIMBOLAITIS,"2,50%",25,"2,38%",1,Jašiūnų  (Nr.20) apylinkė  
Algis GRIDZIUŠKA,"2,41%",25,"2,29%",0,Jašiūnų  (Nr.20) apylinkė  
Arvydas BANIULIS,"1,64%",16,"1,56%",1,Jašiūnų  (Nr.20) apylinkė  
Arvydas VALIUKEVIČIUS,"2,41%",22,"2,29%",3,Jašiūnų  (Nr.20) apylinkė  
Valdemar TOMAŠEVSKI,"80,22%",472,"76,09%",104,Lavoriškių  (Nr.19) apylinkė  
Alina GOREVAJA,"4,18%",24,"3,96%",6,Lavoriškių  (Nr.19) apylinkė  
Leonarda STANČIKIENĖ,"1,81%",12,"1,72%",1,Lavoriškių  (Nr.19) apylinkė  
Solveiga MAKARENKIENĖ,"4,32%",30,"4,10%",1,Lavoriškių  (Nr.19) apylinkė  
Ana ORNOVSKA,"1,95%",10,"1,85%",4,Lavoriškių  (Nr.19) apylinkė  
Jaroslav KOZLOVSKI,"2,65%",13,"2,51%",6,Lavoriškių  (Nr.19) apylinkė  
Jonas CIMBOLAITIS,"1,39%",10,"1,32%",0,Lavoriškių  (Nr.19) apylinkė  
Algis GRIDZIUŠKA,"1,67%",11,"1,59%",1,Lavoriškių  (Nr.19) apylinkė  
Arvydas BANIULIS,"1,39%",8,"1,32%",2,Lavoriškių  (Nr.19) apylinkė  
Arvydas VALIUKEVIČIUS,"0,42%",3,"0,40%",0,Lavoriškių  (Nr.19) apylinkė  
Valdemar TOMAŠEVSKI,"75,88%",307,"69,72%",36,Mostiškių  (Nr.18) apylinkė  
Alina GOREVAJA,"6,64%",28,"6,10%",2,Mostiškių  (Nr.18) apylinkė  
Leonarda STANČIKIENĖ,"2,65%",11,"2,44%",1,Mostiškių  (Nr.18) apylinkė  
Solveiga MAKARENKIENĖ,"4,20%",15,"3,86%",4,Mostiškių  (Nr.18) apylinkė  
Ana ORNOVSKA,"2,43%",11,"2,24%",0,Mostiškių  (Nr.18) apylinkė  
Jaroslav KOZLOVSKI,"4,20%",18,"3,86%",1,Mostiškių  (Nr.18) apylinkė  
Jonas CIMBOLAITIS,"1,33%",5,"1,22%",1,Mostiškių  (Nr.18) apylinkė  
Algis GRIDZIUŠKA,"1,11%",4,"1,02%",1,Mostiškių  (Nr.18) apylinkė  
Arvydas BANIULIS,"1,11%",4,"1,02%",1,Mostiškių  (Nr.18) apylinkė  
Arvydas VALIUKEVIČIUS,"0,44%",2,"0,41%",0,Mostiškių  (Nr.18) apylinkė  
Valdemar TOMAŠEVSKI,"77,27%",381,"72,01%",190,Šumsko  (Nr.17) apylinkė  
Alina GOREVAJA,"7,04%",41,"6,56%",11,Šumsko  (Nr.17) apylinkė  
Leonarda STANČIKIENĖ,"2,44%",16,"2,27%",2,Šumsko  (Nr.17) apylinkė  
Solveiga MAKARENKIENĖ,"4,60%",32,"4,29%",2,Šumsko  (Nr.17) apylinkė  
Ana ORNOVSKA,"2,03%",11,"1,89%",4,Šumsko  (Nr.17) apylinkė  
Jaroslav KOZLOVSKI,"2,44%",13,"2,27%",5,Šumsko  (Nr.17) apylinkė  
Jonas CIMBOLAITIS,"0,68%",4,"0,63%",1,Šumsko  (Nr.17) apylinkė  
Algis GRIDZIUŠKA,"0,95%",7,"0,88%",0,Šumsko  (Nr.17) apylinkė  
Arvydas BANIULIS,"1,35%",7,"1,26%",3,Šumsko  (Nr.17) apylinkė  
Arvydas VALIUKEVIČIUS,"1,22%",5,"1,13%",4,Šumsko  (Nr.17) apylinkė  
Valdemar TOMAŠEVSKI,"71,26%",497,"66,18%",98,Kalvelių  (Nr.16) apylinkė  
Alina GOREVAJA,"9,94%",81,"9,23%",2,Kalvelių  (Nr.16) apylinkė  
Leonarda STANČIKIENĖ,"1,80%",13,"1,67%",2,Kalvelių  (Nr.16) apylinkė  
Solveiga MAKARENKIENĖ,"6,83%",57,"6,34%",0,Kalvelių  (Nr.16) apylinkė  
Ana ORNOVSKA,"1,32%",11,"1,22%",0,Kalvelių  (Nr.16) apylinkė  
Jaroslav KOZLOVSKI,"4,19%",34,"3,89%",1,Kalvelių  (Nr.16) apylinkė  
Jonas CIMBOLAITIS,"0,96%",8,"0,89%",0,Kalvelių  (Nr.16) apylinkė  
Algis GRIDZIUŠKA,"1,08%",9,"1,00%",0,Kalvelių  (Nr.16) apylinkė  
Arvydas BANIULIS,"1,68%",12,"1,56%",2,Kalvelių  (Nr.16) apylinkė  
Arvydas VALIUKEVIČIUS,"0,96%",8,"0,89%",0,Kalvelių  (Nr.16) apylinkė  
Valdemar TOMAŠEVSKI,"80,35%",265,"75,15%",107,Pakenės  (Nr.15) apylinkė  
Alina GOREVAJA,"7,78%",34,"7,27%",2,Pakenės  (Nr.15) apylinkė  
Leonarda STANČIKIENĖ,"2,59%",12,"2,42%",0,Pakenės  (Nr.15) apylinkė  
Solveiga MAKARENKIENĖ,"4,32%",20,"4,04%",0,Pakenės  (Nr.15) apylinkė  
Ana ORNOVSKA,"0,65%",2,"0,61%",1,Pakenės  (Nr.15) apylinkė  
Jaroslav KOZLOVSKI,"1,73%",8,"1,62%",0,Pakenės  (Nr.15) apylinkė  
Jonas CIMBOLAITIS,"1,08%",5,"1,01%",0,Pakenės  (Nr.15) apylinkė  
Algis GRIDZIUŠKA,"1,30%",6,"1,21%",0,Pakenės  (Nr.15) apylinkė  
Arvydas BANIULIS,"0,22%",1,"0,20%",0,Pakenės  (Nr.15) apylinkė  
Arvydas VALIUKEVIČIUS,"0,00%",0,"0,00%",0,Pakenės  (Nr.15) apylinkė  
Valdemar TOMAŠEVSKI,"70,52%",166,"66,86%",66,Čiužiakampio  (Nr.9) apylinkė  
Alina GOREVAJA,"9,12%",20,"8,65%",10,Čiužiakampio  (Nr.9) apylinkė  
Leonarda STANČIKIENĖ,"7,29%",20,"6,92%",4,Čiužiakampio  (Nr.9) apylinkė  
Solveiga MAKARENKIENĖ,"5,17%",17,"4,90%",0,Čiužiakampio  (Nr.9) apylinkė  
Ana ORNOVSKA,"2,13%",5,"2,02%",2,Čiužiakampio  (Nr.9) apylinkė  
Jaroslav KOZLOVSKI,"2,43%",7,"2,31%",1,Čiužiakampio  (Nr.9) apylinkė  
Jonas CIMBOLAITIS,"0,91%",2,"0,86%",1,Čiužiakampio  (Nr.9) apylinkė  
Algis GRIDZIUŠKA,"0,61%",0,"0,58%",2,Čiužiakampio  (Nr.9) apylinkė  
Arvydas BANIULIS,"0,61%",1,"0,58%",1,Čiužiakampio  (Nr.9) apylinkė  
Arvydas VALIUKEVIČIUS,"1,22%",1,"1,15%",3,Čiužiakampio  (Nr.9) apylinkė  
Valdemar TOMAŠEVSKI,"73,75%",144,"68,73%",78,Sėlų  (Nr.8) apylinkė  
Alina GOREVAJA,"2,66%",6,"2,48%",2,Sėlų  (Nr.8) apylinkė  
Leonarda STANČIKIENĖ,"9,30%",20,"8,67%",8,Sėlų  (Nr.8) apylinkė  
Solveiga MAKARENKIENĖ,"3,65%",8,"3,41%",3,Sėlų  (Nr.8) apylinkė  
Ana ORNOVSKA,"3,32%",8,"3,10%",2,Sėlų  (Nr.8) apylinkė  
Jaroslav KOZLOVSKI,"1,99%",5,"1,86%",1,Sėlų  (Nr.8) apylinkė  
Jonas CIMBOLAITIS,"1,66%",1,"1,55%",4,Sėlų  (Nr.8) apylinkė  
Algis GRIDZIUŠKA,"0,66%",2,"0,62%",0,Sėlų  (Nr.8) apylinkė  
Arvydas BANIULIS,"1,66%",3,"1,55%",2,Sėlų  (Nr.8) apylinkė  
Arvydas VALIUKEVIČIUS,"1,33%",2,"1,24%",2,Sėlų  (Nr.8) apylinkė  
Valdemar TOMAŠEVSKI,"60,59%",78,"53,65%",25,Tribonių  (Nr.7) apylinkė  
Alina GOREVAJA,"22,35%",36,"19,79%",2,Tribonių  (Nr.7) apylinkė  
Leonarda STANČIKIENĖ,"0,59%",1,"0,52%",0,Tribonių  (Nr.7) apylinkė  
Solveiga MAKARENKIENĖ,"3,53%",4,"3,12%",2,Tribonių  (Nr.7) apylinkė  
Ana ORNOVSKA,"4,12%",5,"3,65%",2,Tribonių  (Nr.7) apylinkė  
Jaroslav KOZLOVSKI,"1,18%",1,"1,04%",1,Tribonių  (Nr.7) apylinkė  
Jonas CIMBOLAITIS,"1,18%",2,"1,04%",0,Tribonių  (Nr.7) apylinkė  
Algis GRIDZIUŠKA,"2,94%",4,"2,60%",1,Tribonių  (Nr.7) apylinkė  
Arvydas BANIULIS,"1,76%",1,"1,56%",2,Tribonių  (Nr.7) apylinkė  
Arvydas VALIUKEVIČIUS,"1,76%",2,"1,56%",1,Tribonių  (Nr.7) apylinkė  
Valdemar TOMAŠEVSKI,"49,71%",312,"47,01%",121,Bezdonių  (Nr.7) apylinkė  
Alina GOREVAJA,"6,08%",45,"5,75%",8,Bezdonių  (Nr.7) apylinkė  
Leonarda STANČIKIENĖ,"4,71%",39,"4,45%",2,Bezdonių  (Nr.7) apylinkė  
Solveiga MAKARENKIENĖ,"7,23%",61,"6,84%",2,Bezdonių  (Nr.7) apylinkė  
Ana ORNOVSKA,"3,21%",25,"3,04%",3,Bezdonių  (Nr.7) apylinkė  
Jaroslav KOZLOVSKI,"2,53%",19,"2,39%",3,Bezdonių  (Nr.7) apylinkė  
Jonas CIMBOLAITIS,"10,91%",89,"10,31%",6,Bezdonių  (Nr.7) apylinkė  
Algis GRIDZIUŠKA,"5,74%",43,"5,43%",7,Bezdonių  (Nr.7) apylinkė  
Arvydas BANIULIS,"4,13%",31,"3,91%",5,Bezdonių  (Nr.7) apylinkė  
Arvydas VALIUKEVIČIUS,"5,74%",46,"5,43%",4,Bezdonių  (Nr.7) apylinkė  
Valdemar TOMAŠEVSKI,"75,10%",116,"69,00%",71,Gerviškių  (Nr.6) apylinkė  
Alina GOREVAJA,"7,23%",16,"6,64%",2,Gerviškių  (Nr.6) apylinkė  
Leonarda STANČIKIENĖ,"4,82%",11,"4,43%",1,Gerviškių  (Nr.6) apylinkė  
Solveiga MAKARENKIENĖ,"4,82%",11,"4,43%",1,Gerviškių  (Nr.6) apylinkė  
Ana ORNOVSKA,"3,21%",8,"2,95%",0,Gerviškių  (Nr.6) apylinkė  
Jaroslav KOZLOVSKI,"0,80%",2,"0,74%",0,Gerviškių  (Nr.6) apylinkė  
Jonas CIMBOLAITIS,"0,40%",1,"0,37%",0,Gerviškių  (Nr.6) apylinkė  
Algis GRIDZIUŠKA,"1,61%",2,"1,48%",2,Gerviškių  (Nr.6) apylinkė  
Arvydas BANIULIS,"1,20%",3,"1,11%",0,Gerviškių  (Nr.6) apylinkė  
Arvydas VALIUKEVIČIUS,"0,80%",1,"0,74%",1,Gerviškių  (Nr.6) apylinkė  
Valdemar TOMAŠEVSKI,"55,47%",108,"52,29%",29,Zavišonių  (Nr.5) apylinkė  
Alina GOREVAJA,"13,77%",31,"12,98%",3,Zavišonių  (Nr.5) apylinkė  
